N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;atomic_mass;atomic_mass_unc;delta;bind_ene_teo;Diff_bind_ene;Delta_2n;Delta_2p
28;97;69;166;Tm;-61886.478;11.552;8.1189357;0.0696;-292.7714;13.5069;933562.136;12.401;1;8.360643799713191;-0.24170809971319152;-0.0032663999999993365;-0.009545399999998594
26;96;70;166;Yb;-61593.706;7.001;8.1124591;0.0422;-5572.7197;30.6189;933876.439;7.515;-1;8.361487186980622;-0.24902808698062096;-0.0036163000000026813;-0.01034550000000145
24;95;71;166;Lu;-56020.987;29.808;8.0741756;0.1796;-2161.9978;40.8585;939859.000;32.000;1;8.333201615023375;-0.25902601502337497;-0.0021442999999994328;-0.009269099999999142
22;94;72;166;Hf;-53858.989;27.945;8.0564386;0.1683;-7761.2089;39.5199;942180.000;30.000;-1;8.317680509807282;-0.261241909807282;-0.00350940000000044;-0.009529600000000471
20;93;73;166;Ta;-46097.780;27.945;8.0049714;0.1683;-4210.3092;29.5036;950512.000;30.000;1;8.273030445366516;-0.26805904536651504;-0.0035162999999993616;-0.009017700000001128
18;92;74;166;W;-41887.471;9.463;7.9748950999999995;0.0570;-10050.1358;88.7072;955031.952;10.159;-1;8.241144847666904;-0.26624974766690457;-0.004405999999998578;-0.010035199999999023
16;91;75;166;Re;-31837.335;88.242;7.9096392;0.5316;-6405.8090;88.3046;965821.216;94.731;1;8.180130290742614;-0.2704910907426141;-0.0031052999999996445;-0.008429699999999762
14;90;76;166;Os;-25431.526;17.966;7.8663371;0.1082;-12126;201;972698.135;19.287;-1;8.131880200559483;-0.2655431005594826;-0.003425400000000245;-0.007601000000000191
12;89;77;166;Ir;-13306;201;7.789;1;-8523;361;985716;215;1;8.054501151151673;-0.26550115115167294;-0.0041490999999993505;-0.008947699999999337
10;88;78;166;Pt;-4783;300;7.733;2;*;;994866;322;-1;7.989886568485021;-0.25688656848502145;;
43;105;62;167;Sm;-35330;500;7.992;3;8440;640;962072;537;0;8.180051530056025;-0.1880515300560246;;
41;104;63;167;Eu;-43770;400;8.038;2;7006;400;953011;429;0;8.230097387081337;-0.19209738708133628;-0.004947100000000759;-0.014999999999998792
39;103;64;167;Gd;-50775.732;5.213;8.075542800000001;0.0312;5107.3505;5.5584;945490.012;5.596;0;8.272052959854983;-0.19651015985498255;-0.005642800000002168;-0.015329000000001258
37;102;65;167;Tb;-55883.082;1.929;8.101441;0.0116;4028.3686;4.4459;940007.046;2.071;0;8.305918248376962;-0.20447724837696235;-0.003556099999999063;-0.013766899999998472
35;101;66;167;Dy;-59911.451;4.005;8.1208782;0.0240;2368.0076;6.5549;935682.415;4.300;0;8.331693252647272;-0.21081505264727163;-0.003091500000000025;-0.014305800000000701
33;100;67;167;Ho;-62279.459;5.189;8.1303732;0.0311;1009.7971;5.1890;933140.254;5.570;0;8.349377972665918;-0.21900477266591878;-0.00472509999999815;-0.015950300000000084
31;99;68;167;Er;-63289.256;0.286;8.1317352;0.0017;-746.1392;1.2633;932056.192;0.306;0;8.358972408432896;-0.2272372084328964;-0.006527799999998862;-0.015041500000000596
29;98;69;167;Tm;-62543.117;1.258;8.1225826;0.0075;-1953.2162;3.7968;932857.206;1.350;0;8.360476559948207;-0.23789395994820772;-0.005146099999999265;-0.011882799999998639
27;97;70;167;Yb;-60589.900;3.960;8.106202;0.0237;-3063.6190;37.4696;934954.069;4.251;0;8.353890427211853;-0.24768842721185358;-0.003043500000000421;-0.010690099999999703
25;96;71;167;Lu;-57526.281;37.260;8.0831722;0.2231;-4058.5198;46.5747;938243.000;40.000;0;8.339214010223829;-0.2560418102238291;-0.003275099999999753;-0.009837799999999675
23;95;72;167;Hf;-53467.761;27.945;8.054185;0.1673;-5116.6971;39.5199;942600.000;30.000;0;8.316447308984142;-0.26226230898414116;-0.003718100000002167;-0.008992000000001
21;94;73;167;Ta;-48351.064;27.945;8.0188614;0.1673;-6257.8523;33.6262;948093.000;30.000;0;8.285590323492784;-0.2667289234927832;-0.003710400000001002;-0.009580500000000214
19;93;74;167;W;-42093.212;18.703;7.976704499999999;0.1120;-7259;44;954811.080;20.078;0;8.24664305374976;-0.2699385537497614;-0.0029004999999990844;-0.009249999999999758
17;92;75;167;Re;-34834;40;7.929;0;-8335;90;962604;43;0;8.199605499755071;-0.27060549975507087;-0.005083599999999855;-0.009350900000001161
15;91;76;167;Os;-26498.860;80.892;7.873955700000001;0.4844;-9426.4121;82.9464;971552.304;86.841;0;8.144477661508713;-0.2705219615087122;-0.0036252000000018825;-0.00794100000000153
13;90;77;167;Ir;-17072.448;18.346;7.8128253999999995;0.1099;-10319;307;981671.973;19.694;0;8.08125953901069;-0.26843413901069013;-0.004056399999999627;-0.008130699999998825
11;89;78;167;Pt;-6753;306;7.746;2;*;;992750;329;0;8.009951132261001;-0.26395113226100086;-0.005000000000000782;
44;106;62;168;Sm;-31640;300;7.971;2;7610;500;966033;322;-1;8.160417248572514;-0.1894172485725143;;
42;105;63;168;Eu;-39250;400;8.012;2;8899;500;957863;429;1;8.20251667300118;-0.19051667300117892;-0.00500000000000167;
40;104;64;168;Gd;-48150;300;8.06;2;4631;300;948309;322;-1;8.257189963217513;-0.1971899632175127;-0.005774000000002388;-0.013000000000001677
38;103;65;168;Tb;-52781.181;4.192;8.082798;0.0250;5777.2167;140.0696;943337.074;4.500;1;8.283289559231624;-0.2004915592316241;-0.005373000000000516;-0.015805800000000758
36;102;66;168;Dy;-58558.398;140.007;8.1125293;0.8334;1500.8333;143.1849;937134.977;150.303;-1;8.321963021033403;-0.20943372103340252;-0.0037793000000014842;-0.01587970000000105
34;101;67;168;Ho;-60059.231;30.001;8.1168061;0.1786;2930.0000;30.0000;935523.766;32.207;1;8.332062788632959;-0.21525668863295877;-0.00432869999999852;-0.01487479999999941
32;100;68;168;Er;-62989.231;0.262;8.1295897;0.0016;-1676.8526;1.6858;932378.282;0.280;-1;8.354736422020187;-0.22514672202018637;-0.005278600000000466;-0.015290000000002024
30;99;69;168;Tm;-61312.379;1.677;8.1149516;0.0100;267.4880;1.6782;934178.457;1.800;1;8.348836361205189;-0.2338847612051893;-0.005453099999998656;-0.01274129999999829
